Numéro compte;Numéro facture;Date;Niveau de charge;Type d'accès;Numéro accès;Libellé ligne facture;Rubrique facture;Indicateur abo principal/option;Type de charge;Type de trafic;Unité;Quantité (Acte);Nombre de lignes;Quantité (Volume (Mo));Quantité (Durée (hh:mm:ss));Quantité (Volume (Ko));Quantité (Hors conso);Montant (€ HT);Montant TVA;Montant (€ TTC)
3899103;12509020081;02/09/2025;Numéro accès réseau;Corporate;0025349400;Corporate;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;200,0;40,0;240,0
3899103;12509020081;02/09/2025;Numéro accès réseau;Intranet;0025349403;Intranet 6M;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;462,0;92,4;554,4
61338355;91830563;30/09/2025;Numéro accès réseau;data;0608173194;Contrôle Multimédia;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0608173194;data illimité national + Europe (UE + EEA + Suisse/Andorre);consommations;Non;Consommations;incluses ou décomptées des forfaits - data;Volume (Mo);0,0;1,0;5,163;0,0;0,0;0,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0608173194;data only;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0608173194;facture détaillée longue;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0608173194;forfait connect (12 mois);forfaits, formules et options;Oui;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;6,0;1,2;7,199999999999999
61338355;91830563;30/09/2025;Numéro accès réseau;data;0608173194;messagerie vocale visuelle;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0608173194;remise abonnement;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-2,6;-0,52;-3,12
61338355;91830563;30/09/2025;Numéro accès réseau;data;0608173194;remise smartphone connect 10 Go 12 mois (85,32%);forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-40,1;-8,02;-48,12
61338355;91830563;30/09/2025;Numéro accès réseau;data;0608173194;smartphone connect 10 Go 12 mois;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;47,0;9,4;56,4
