Numéro compte;Numéro facture;Date;Niveau de charge;Type d'accès;Numéro accès;Libellé ligne facture;Rubrique facture;Indicateur abo principal/option;Type de charge;Type de trafic;Unité;Quantité (Acte);Nombre de lignes;Quantité (Volume (Mo));Quantité (Durée (hh:mm:ss));Quantité (Volume (Ko));Quantité (Hors conso);Montant (€ HT);Montant TVA;Montant (€ TTC)
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise sur Accès de Base 5,26% - compensation augmentation 2023;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,93;-0,786;-4,716
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise sur Accès de Base 7,407% - compensation augmentation 2025;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-4,98;-0,9960000000000001;-5,976
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise sur accès de base 28%;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-30,24;-6,047999999999999;-36,288
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise sur communications fixes métropole 78%;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-23,07;-4,614;-27,684
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise sur communications mobiles métropole 72%;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-18,97;-3,7939999999999996;-22,764
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;service et appel gratuits;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;978,0;0,0;0,0;0,0;0,0;0,0
002380160;303782319;05/11/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;services spéciaux durée depuis un fixe;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;215,0;0,0;0,0;0,18;0,036;0,216
002380160;303782319;05/11/2025;Numéro compte;;;tarif Corporate Série 2;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;;0,0;0,0;0,0;2,0;0,0;0,0;0,0
2774500;12511012753;03/11/2025;Numéro accès réseau;Autre;0024824458;Business Internet 200 Mbits/s   zone rouge;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;618,0;123,6;741,6
3899100;12511018956;03/11/2025;Numéro accès réseau;Autre;0025174125;Business Internet FibreMax   zone rouge;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;150,0;30,0;180,0
3899102;12511018955;03/11/2025;Numéro accès réseau;Autre;0023126440;Création, gestion d'1 domaine .fr;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;7,62;1,524;9,144
3899102;12511018955;03/11/2025;Numéro accès réseau;Autre;0025344603;Business Internet 200 Mbits/s   zone 1;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;618,0;123,6;741,6
3899102;12511018955;03/11/2025;Numéro accès réseau;Autre;0025376573;Business Internet FibreMax   zone 1;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;104,0;20,8;124,8
3899103;12511018958;03/11/2025;Numéro accès réseau;Corporate;0025349400;Corporate;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;200,0;40,0;240,0
3899103;12511018958;03/11/2025;Numéro accès réseau;Intranet;0025349403;Intranet 6M;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;462,0;92,4;554,4
